GeneID	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	R11	R12	R13	R14	R15	R16	R17	R18
JR_109009235	2146	1354	1298	1891	1257	1394	1639	1643	1534	1775	2083	1521	1210	886	747	1063	972	969	428	478	490	566	546	549	486	643	490	627	471	599	374	565	334	645	481	541
JR_108990238	2106	946	486	1079	436	810	493	1395	725	822	2467	971	95	107	110	479	319	106	2657	3246	1758	3408	1614	1451	3245	3650	1201	3805	1898	3790	2886	4354	2258	3942	1856	1646
JR_108997328	2105	2184	2415	3205	1970	1857	3226	4255	3489	3413	2439	4377	1781	1576	2357	2485	2394	2812	1369	1502	1862	1475	1247	2485	2828	2515	3789	2126	2245	3339	1899	2686	1177	1985	1532	1444
JR_109012646	2054	1030	420	2759	1965	2062	782	952	1261	1154	2402	813	166	126	135	2325	1344	381	1349	1571	1061	1615	2595	2500	1147	1238	1288	1174	1456	2499	1454	1095	777	1664	2460	2889
JR_109007845	2027	1764	1514	3374	1954	2216	3083	4528	1965	3942	2402	4088	237	309	1124	1526	985	2494	792	933	1080	1005	1169	2106	1211	1068	1894	972	948	1849	1032	1148	619	1006	1127	1545
JR_26380883	2025	594	398	574	319	487	323	865	438	273	416	298	433	399	246	544	592	347	3473	3863	2745	2946	4292	3729	2564	4364	4899	4199	2708	2182	4123	5084	3570	4063	4645	3776
JR_26380849	2005	875	669	1644	726	1252	638	1257	847	634	1502	703	883	536	515	999	1124	681	3274	3732	2034	3648	3825	2847	2024	3503	2597	3415	1746	2137	4857	5076	2637	3837	3532	3673
JR_108992104	1960	1492	1882	4256	2444	2731	3000	2716	3475	3258	3836	3404	117	154	431	1193	943	611	1985	2351	2856	2315	3270	4291	3221	2508	2376	2703	2391	4042	2987	3351	1497	2442	2898	3290
JR_108989124	1948	1512	802	1514	1049	1438	739	900	1098	719	906	971	4	9	118	597	294	276	609	800	1121	695	899	1371	685	702	595	730	752	1269	1055	1005	506	915	1128	1597
JR_109004736	1944	901	656	1952	986	1381	939	1325	1083	918	1709	1093	273	278	233	917	835	489	1438	1611	1139	1718	1598	1418	2062	2456	1392	2025	1319	2249	1784	2273	1209	2043	1464	1732
JR_109011409	1930	705	552	1405	508	929	1065	1989	1269	798	1022	1164	161	174	148	384	415	247	544	550	410	519	233	215	849	746	460	653	349	416	448	836	370	550	207	195
JR_109008440	1927	1371	2131	2312	1465	1378	2429	2105	2655	1813	1592	1998	300	459	1005	824	1181	1406	1273	1367	1751	1246	1000	1522	1953	2195	1903	1802	1855	1860	1278	2389	1055	1492	794	940
JR_109018113	1880	1810	1733	3984	1654	1611	1793	5130	1491	1881	2496	2823	1904	1042	1720	3423	1812	4228	202	256	177	309	278	555	463	424	650	388	353	703	285	464	219	381	262	258
JR_108987726	1844	1397	1536	1103	1024	966	1418	1369	1733	1151	699	1035	1126	973	2002	1367	1345	1514	566	503	716	532	665	928	596	580	915	558	589	640	451	548	301	624	885	1134
JR_109002882	1830	1761	1240	2874	1504	1635	1757	1324	2045	1759	2017	1742	461	547	568	1394	1175	846	1201	1352	1303	1338	1450	1338	1185	722	1072	1080	1160	1578	2166	2487	1039	1657	1963	2470
JR_108987244	1827	1321	1413	1671	892	1104	1475	2400	1584	1280	1234	1612	312	399	809	818	813	905	939	1076	1154	1118	1116	1590	1739	1508	1239	1318	1078	1715	1261	1843	863	1343	1086	1299
JR_109005469	1780	1674	1274	1258	861	905	1596	1262	1581	1714	2027	1938	608	521	759	819	506	710	1029	1147	1007	1059	602	726	1133	1497	1162	1202	1230	1695	1158	1665	843	1214	610	618
JR_108990226	1772	843	436	923	472	680	584	1180	661	629	1807	752	113	153	111	461	322	101	957	1309	619	1221	577	486	1236	1547	587	1325	748	1267	1494	2134	805	1454	570	671
JR_108984438	1742	1371	1525	2017	1411	1375	1773	2050	1811	1888	1878	2126	597	620	1142	1189	1099	1082	1253	1338	1473	1279	1368	1956	2097	1910	2616	1419	1633	2385	1937	2394	1042	1665	1376	1651
JR_26380811	1742	843	478	1352	520	1281	442	624	422	371	477	273	669	522	285	543	671	545	1165	1320	780	1420	1173	976	372	948	757	1332	488	442	583	744	920	1482	1263	1146
JR_109008586	1736	552	153	1366	472	994	190	750	226	414	1684	705	38	48	35	568	464	220	2043	2632	1280	2642	2810	1592	1283	3094	1733	3118	1566	3224	2209	4025	1643	2523	3964	3675
JR_109011172	1725	1262	1351	1416	878	950	1381	2204	1566	1179	977	1294	1529	1407	1494	2228	1285	1815	589	602	699	546	424	712	736	696	992	670	583	823	642	858	362	664	613	653
JR_108989147	1707	1312	1181	1492	831	1001	1305	1878	1307	1278	1175	1325	1057	834	1053	1295	1125	1026	1085	1139	1391	1126	1318	1759	1466	1536	1860	1447	1223	1885	1398	1812	905	1522	1231	1515
JR_109020899	1699	2331	2602	2358	1419	1488	1200	2458	1464	1003	1155	2807	3483	2111	4340	6213	4814	5538	727	935	946	1004	1370	2055	2375	1298	3099	1313	1452	2182	882	1068	626	1120	1727	1305
JR_109010122	1688	1532	1068	2301	1266	1260	656	703	470	725	663	756	465	419	640	998	811	753	160	166	164	191	87	104	161	218	200	147	125	176	161	267	110	198	165	141
JR_109003445	1675	1725	1725	2006	1592	1453	2647	2115	2165	2602	1767	2271	961	902	1827	1325	1514	1586	795	883	903	917	855	1010	1253	1239	1434	987	1016	1554	914	1326	654	1064	954	1105
JR_108988513	1669	1563	1903	1419	1212	1139	1813	1962	1962	1910	1136	1699	606	643	1335	943	1118	1162	505	509	698	467	587	796	649	519	878	418	591	679	548	652	379	659	511	716
JR_108993126	1668	850	620	2173	943	1442	1261	2175	1135	1223	1780	1266	453	583	579	982	1189	627	1216	1042	764	1158	728	805	1320	1163	1051	1033	638	1169	1033	1662	653	1084	704	717
JR_109006690	1667	1266	1386	1087	1057	943	1530	2403	1528	1510	1147	1311	971	873	1529	1412	1203	1198	587	703	754	602	628	927	940	626	1015	578	650	1015	765	706	387	705	776	1130
JR_26380824	1647	697	535	921	382	790	384	750	442	311	498	312	496	359	297	637	543	396	731	795	598	767	858	780	478	867	795	974	501	659	727	959	539	824	1020	926
JR_108995453	1643	1731	1944	2067	1671	1627	2353	2318	2494	2758	1996	2488	652	730	1697	1465	1492	1598	726	720	993	816	845	1383	1059	857	1440	779	866	1379	925	943	496	849	908	1436
JR_108989632	1642	2015	2534	2072	1770	1535	2877	2498	2772	2741	1758	2441	1008	880	2598	1362	1721	1973	1117	1068	1774	1277	1260	2137	1605	1501	2839	1302	1490	2504	1239	1404	778	1368	1630	2359
JR_108999621	1586	697	273	2521	741	1205	321	2264	342	396	1868	1781	263	146	63	886	808	293	1167	1286	558	1263	1215	1008	1704	1276	631	1076	543	1125	1235	1903	578	985	1235	1130
JR_109009362	1583	1413	1744	1643	1367	1085	2116	2671	2159	2124	1635	2248	643	614	1444	1297	1211	1313	764	884	1062	867	990	1693	1313	1124	1786	922	1205	1955	1393	1173	689	1121	1156	1478
JR_26380801	1579	749	401	989	556	1070	431	893	421	379	555	314	412	328	320	566	614	395	897	1003	668	1012	911	576	187	604	412	849	409	307	711	818	686	1116	870	766
JR_108985659	1552	1516	1569	1735	1469	1190	1869	1617	1941	1692	1254	1448	671	583	1399	1181	1117	1308	1107	1070	1340	1143	1169	1827	1443	1243	1512	1199	1161	1888	1037	1204	678	1310	1422	1799
JR_108990945	1552	1372	1685	697	983	878	1161	1393	1539	1378	933	1340	858	443	916	1572	865	1383	668	738	914	699	856	1031	648	553	580	490	932	1186	812	494	428	705	795	1171
JR_109022163	1552	1560	1746	1725	1601	1326	2444	2077	2230	2589	1521	2216	762	691	1659	1482	1363	1526	834	892	1136	790	1039	1627	1222	1050	1843	888	1264	1746	1173	1072	613	1182	1211	1645
JR_109014386	1550	1391	1405	1574	1331	1180	1615	1646	1685	1534	1400	1544	223	200	808	874	709	874	1046	1280	1436	1091	1344	1621	1633	1618	1659	1273	1400	1914	1454	1786	786	1393	1408	1586
JR_108986327	1532	888	525	1118	515	852	851	1558	735	947	1622	1390	135	194	174	495	454	241	1378	1558	815	1515	809	630	1538	1724	972	1762	1024	1802	1859	2704	976	1755	919	873
JR_108984518	1529	623	435	1311	518	950	451	1253	533	533	1369	726	110	156	112	561	566	243	1165	1391	709	1292	998	723	1300	1522	763	1441	686	1390	1764	2334	752	1408	1057	829
JR_109014480	1525	884	973	1386	884	995	838	1363	941	904	966	1108	177	191	428	639	618	376	738	810	727	687	815	986	1020	775	793	770	796	1079	990	1119	594	880	818	901
JR_109004513	1513	1383	1526	1452	1054	1076	1858	2116	1807	1848	1256	1567	741	770	1742	1097	1068	1255	564	600	794	608	692	1047	847	651	1210	625	705	1091	786	730	389	786	809	974
JR_109013946	1511	673	355	1797	725	1137	667	1340	789	729	1557	921	58	75	83	645	577	325	1435	1499	942	1727	1543	1270	1825	2154	1124	1877	1070	1891	1884	2534	1280	1952	1525	1535
JR_109008563	1510	586	423	1289	556	812	530	1130	585	582	1288	691	136	196	147	620	591	233	867	1138	718	1091	888	796	1179	1329	919	1319	665	1327	1451	2006	777	1156	919	979
JR_109003886	1495	1706	1583	707	643	680	864	817	1136	602	293	389	589	618	1376	700	883	1010	527	475	774	550	525	674	450	521	801	479	468	420	371	421	300	607	649	746
JR_108991753	1488	1441	1282	1537	1288	1076	1518	2134	1593	1542	1209	1569	764	638	1706	1240	1125	1243	460	510	641	513	475	799	634	592	779	447	497	842	469	610	322	531	707	879
JR_108986783	1485	1431	1671	1356	1272	1002	1895	2367	1944	1862	1385	1878	530	554	1345	1040	1042	1083	825	901	1193	937	1058	1784	1455	1017	1779	900	1081	1893	1279	1079	644	1084	1179	1743
JR_108993418	1441	1853	1801	1939	1835	1611	3313	1707	3452	3374	1802	2873	670	571	1906	1332	1313	1687	949	911	1367	1088	964	1838	1428	1109	1716	1047	1279	2110	1099	1040	613	1159	1274	2020
JR_108987172	1430	1132	1214	1006	860	861	1086	2303	1216	1086	777	1198	667	593	1227	944	1070	920	890	977	1069	864	915	1291	1078	986	1273	782	807	1114	1014	1040	628	1067	1049	1308
JR_109010479	1425	904	1069	2075	1073	1365	1388	1930	1145	1538	1582	1300	1074	973	1370	2235	2027	1751	1170	1359	954	1473	1251	1366	2107	1876	1756	1463	1412	1814	1681	2540	1142	1495	1093	1328
